Application_mode,Course,Fathers_qualification,Mothers_qualification,Fathers_occupation,Mothers_occupation,Scholarship_holder,Tuition_fees_up_to_date,Curricular_units_1st_sem_approved,Curricular_units_1st_sem_grade,Curricular_units_2nd_sem_approved,Curricular_units_2nd_sem_grade,Status
1st phase - general contingent,Journalism and Communication,Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,Secondary Education - 12th Year of Schooling or Eq.,"Skilled Workers in Industry, Construction and Craftsmen","Skilled Workers in Industry, Construction and Craftsmen",Yes,Yes,4,14.0,3,11.0,Graduate
1st phase - general contingent,Animation and Multimedia Design,Basic education 1st cycle (4th/5th year) or equiv.,Basic Education 2nd Cycle (6th/7th/8th Year) or Equiv.,Unskilled Workers,Administrative staff,No,Yes,0,0.0,0,0.0,Graduate
2nd phase - general contingent,Animation and Multimedia Design,Basic education 1st cycle (4th/5th year) or equiv.,Secondary Education - 12th Year of Schooling or Eq.,"Skilled Workers in Industry, Construction and Craftsmen",Administrative staff,Yes,Yes,0,0.0,0,0.0,Dropout
2nd phase - general contingent,Communication Design,Secondary Education - 12th Year of Schooling or Eq.,Secondary Education - 12th Year of Schooling or Eq.,Administrative staff,Intermediate Level Technicians and Professions,No,Yes,5,11.4,1,10.0,Dropout
Change of course,Communication Design,Secondary Education - 12th Year of Schooling or Eq.,Secondary Education - 12th Year of Schooling or Eq.,Intermediate Level Technicians and Professions,Intermediate Level Technicians and Professions,No,Yes,0,0.0,0,0.0,Dropout
Over 23 years old,Tourism,Basic education 1st cycle (4th/5th year) or equiv.,Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,Armed Forces Professions,"Skilled Workers in Industry, Construction and Craftsmen",No,Yes,6,12.0,5,10.8,Graduate
2nd phase - general contingent,Management,Basic education 1st cycle (4th/5th year) or equiv.,Basic Education 2nd Cycle (6th/7th/8th Year) or Equiv.,"Personal Services, Security and Safety Workers and Sellers","Personal Services, Security and Safety Workers and Sellers",No,Yes,0,0.0,0,0.0,Dropout
2nd phase - general contingent,Tourism,Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,Administrative staff,Administrative staff,No,Yes,5,12.0,3,11.333333333333334,Graduate
1st phase - general contingent,Management,Basic education 1st cycle (4th/5th year) or equiv.,Basic Education 2nd Cycle (6th/7th/8th Year) or Equiv.,Unskilled Workers,Unskilled Workers,No,Yes,4,14.0,5,13.8,Graduate
Change of course,Informatics Engineering,Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,Basic Education 2nd Cycle (6th/7th/8th Year) or Equiv.,"Farmers and Skilled Workers in Agriculture, Fisheries and Forestry",Unskilled Workers,No,Yes,2,10.0,0,0.0,Dropout
International student (bachelor),Informatics Engineering,Higher Education,Basic Education 2nd Cycle (6th/7th/8th Year) or Equiv.,Specialists in Intellectual and Scientific Activities,Unskilled Workers,No,Yes,5,14.0,3,13.25,Dropout
1st phase - general contingent,Veterinary Nursing,Higher Education - Bachelor's Degree,Secondary Education - 12th Year of Schooling or Eq.,"Representatives of the Legislative Power and Executive Bodies, Directors, Directors and Executive Managers",Unskilled Workers,No,Yes,5,14.2,5,13.8,Graduate
2nd phase - general contingent,Basic Education,Secondary Education - 12th Year of Schooling or Eq.,Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,Intermediate Level Technicians and Professions,Unskilled Workers,No,Yes,6,11.666666666666666,3,13.0,Dropout
2nd phase - general contingent,Management,Basic Education 2nd Cycle (6th/7th/8th Year) or Equiv.,Secondary Education - 12th Year of Schooling or Eq.,"Skilled Workers in Industry, Construction and Craftsmen",Administrative staff,Yes,Yes,3,13.0,3,11.0,Dropout
Change of course,Nursing,Basic Education 2nd Cycle (6th/7th/8th Year) or Equiv.,Basic Education 2nd Cycle (6th/7th/8th Year) or Equiv.,"Personal Services, Security and Safety Workers and Sellers",Unskilled Workers,No,Yes,6,11.616666666666667,7,13.0,Graduate
2nd phase - general contingent,Social Service,Basic education 1st cycle (4th/5th year) or equiv.,Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,"Skilled Workers in Industry, Construction and Craftsmen",Unskilled Workers,Yes,Yes,2,10.0,4,10.75,Dropout
2nd phase - general contingent,Management,Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,Intermediate Level Technicians and Professions,Intermediate Level Technicians and Professions,No,Yes,3,10.333333333333334,3,10.666666666666666,Dropout
1st phase - general contingent,Basic Education,Basic Education 2nd Cycle (6th/7th/8th Year) or Equiv.,Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,Intermediate Level Technicians and Professions,Unskilled Workers,Yes,Yes,5,12.8,5,13.4,Graduate
1st phase - general contingent,Nursing,Secondary Education - 12th Year of Schooling or Eq.,Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,"Skilled Workers in Industry, Construction and Craftsmen",Administrative staff,Yes,Yes,5,13.188,7,12.892857142857142,Graduate
Change of institution/course,Management,Secondary Education - 12th Year of Schooling or Eq.,Higher Education,Intermediate Level Technicians and Professions,Intermediate Level Technicians and Professions,No,No,0,0.0,0,0.0,Dropout
1st phase - general contingent,Animation and Multimedia Design,Basic education 1st cycle (4th/5th year) or equiv.,Higher Education,Installation and Machine Operators and Assembly Workers,Specialists in Intellectual and Scientific Activities,No,Yes,0,0.0,0,0.0,Graduate
2nd phase - general contingent,Basic Education,Basic Education 2nd Cycle (6th/7th/8th Year) or Equiv.,Basic Education 2nd Cycle (6th/7th/8th Year) or Equiv.,"Farmers and Skilled Workers in Agriculture, Fisheries and Forestry","Skilled Workers in Industry, Construction and Craftsmen",No,Yes,3,12.333333333333334,5,10.833333333333334,Dropout
Over 23 years old,Agronomy,Basic education 1st cycle (4th/5th year) or equiv.,Secondary Education - 12th Year of Schooling or Eq.,"Farmers and Skilled Workers in Agriculture, Fisheries and Forestry","Farmers and Skilled Workers in Agriculture, Fisheries and Forestry",No,Yes,0,0.0,0,0.0,Dropout
Over 23 years old,Veterinary Nursing,Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,Basic education 1st cycle (4th/5th year) or equiv.,"Skilled Workers in Industry, Construction and Craftsmen",Unskilled Workers,No,Yes,4,11.25,4,10.5,Dropout
1st phase - general contingent,Advertising and Marketing Management,Basic education 1st cycle (4th/5th year) or equiv.,Basic education 1st cycle (4th/5th year) or equiv.,Unskilled Workers,Unskilled Workers,Yes,Yes,3,11.666666666666666,4,13.5,Graduate
Technological specialization diploma holders,Management (evening attendance),Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,Basic education 1st cycle (4th/5th year) or equiv.,Installation and Machine Operators and Assembly Workers,Unskilled Workers,Yes,Yes,6,12.666666666666666,6,13.166666666666666,Graduate
Change of course,Social Service,Basic education 1st cycle (4th/5th year) or equiv.,Secondary Education - 12th Year of Schooling or Eq.,Unskilled Workers,"Personal Services, Security and Safety Workers and Sellers",No,No,8,11.5,4,10.0,Dropout
1st phase - general contingent,Social Service (evening attendance),Basic education 1st cycle (4th/5th year) or equiv.,Secondary Education - 12th Year of Schooling or Eq.,Intermediate Level Technicians and Professions,"Skilled Workers in Industry, Construction and Craftsmen",No,Yes,2,10.0,1,10.0,Dropout
Over 23 years old,Nursing,Higher Education,Secondary Education - 12th Year of Schooling or Eq.,"Specialists in the physical sciences, mathematics, engineering and related techniques","Workers in food processing, woodworking, clothing and other industries and crafts",No,Yes,3,11.816666666666668,3,11.333333333333334,Dropout
Over 23 years old,Oral Hygiene,Secondary Education - 12th Year of Schooling or Eq.,Secondary Education - 12th Year of Schooling or Eq.,"Personal Services, Security and Safety Workers and Sellers",Administrative staff,No,Yes,6,12.125,8,13.3125,Graduate
1st phase - general contingent,Nursing,Secondary Education - 12th Year of Schooling or Eq.,Higher Education,Administrative staff,Administrative staff,No,Yes,6,12.471428571428572,7,11.4625,Graduate
1st phase - special contingent (Madeira Island),Animation and Multimedia Design,Higher Education,Higher Education,Intermediate Level Technicians and Professions,Intermediate Level Technicians and Professions,No,Yes,11,12.909090909090908,9,13.555555555555555,Graduate
1st phase - general contingent,Communication Design,Basic Education 2nd Cycle (6th/7th/8th Year) or Equiv.,Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,Unskilled Workers,Unskilled Workers,No,Yes,5,12.4,5,12.4,Graduate
1st phase - general contingent,Journalism and Communication,Basic education 1st cycle (4th/5th year) or equiv.,Basic education 1st cycle (4th/5th year) or equiv.,Installation and Machine Operators and Assembly Workers,Unskilled Workers,No,Yes,1,11.0,0,0.0,Dropout
2nd phase - general contingent,Communication Design,Basic education 1st cycle (4th/5th year) or equiv.,Basic education 1st cycle (4th/5th year) or equiv.,Unskilled Workers,Unskilled Workers,No,Yes,6,11.833333333333334,6,12.5,Graduate
1st phase - general contingent,Nursing,Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,"Farmers and Skilled Workers in Agriculture, Fisheries and Forestry","Personal Services, Security and Safety Workers and Sellers",Yes,Yes,7,13.79714285714286,8,13.775,Graduate
2nd phase - general contingent,Communication Design,Basic education 1st cycle (4th/5th year) or equiv.,Higher Education - Master's,Unskilled Workers,Specialists in Intellectual and Scientific Activities,No,Yes,6,12.5,6,12.333333333333334,Graduate
Technological specialization diploma holders,Agronomy,Basic education 1st cycle (4th/5th year) or equiv.,Basic education 1st cycle (4th/5th year) or equiv.,Administrative staff,Unskilled Workers,No,Yes,6,11.428571428571429,5,13.0,Graduate
1st phase - general contingent,Advertising and Marketing Management,Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,Secondary Education - 12th Year of Schooling or Eq.,Armed Forces Professions,Administrative staff,No,Yes,4,11.0,4,11.0,Graduate
2nd phase - general contingent,Nursing,Basic Education 2nd Cycle (6th/7th/8th Year) or Equiv.,Basic Education 2nd Cycle (6th/7th/8th Year) or Equiv.,"Skilled Workers in Industry, Construction and Craftsmen","Skilled Workers in Industry, Construction and Craftsmen",No,Yes,6,11.757142857142856,6,13.083333333333334,Graduate
1st phase - special contingent (Azores Island),Veterinary Nursing,Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,Secondary Education - 12th Year of Schooling or Eq.,"Personal Services, Security and Safety Workers and Sellers","Skilled Workers in Industry, Construction and Craftsmen",No,Yes,3,10.333333333333334,3,13.0,Dropout
1st phase - general contingent,Basic Education,Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,Higher Education - Bachelor's Degree,Administrative staff,Administrative staff,No,Yes,5,12.6,5,11.4,Graduate
1st phase - general contingent,Veterinary Nursing,Basic Education 2nd Cycle (6th/7th/8th Year) or Equiv.,Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,"Personal Services, Security and Safety Workers and Sellers",Unskilled Workers,No,Yes,5,14.0,5,11.6,Graduate
1st phase - general contingent,Basic Education,Basic Education 2nd Cycle (6th/7th/8th Year) or Equiv.,Secondary Education - 12th Year of Schooling or Eq.,"Farmers and Skilled Workers in Agriculture, Fisheries and Forestry",Unskilled Workers,No,Yes,5,12.0,6,12.666666666666666,Graduate
1st phase - general contingent,Veterinary Nursing,Higher Education - Bachelor's Degree,Secondary Education - 12th Year of Schooling or Eq.,"Representatives of the Legislative Power and Executive Bodies, Directors, Directors and Executive Managers",Intermediate Level Technicians and Professions,No,Yes,4,12.0,3,12.0,Graduate
Transfer,Management,Basic Education 2nd Cycle (6th/7th/8th Year) or Equiv.,Basic education 1st cycle (4th/5th year) or equiv.,"Representatives of the Legislative Power and Executive Bodies, Directors, Directors and Executive Managers",Unskilled Workers,No,Yes,4,13.0,2,12.0,Dropout
Change of course,Social Service,Basic education 1st cycle (4th/5th year) or equiv.,Basic education 1st cycle (4th/5th year) or equiv.,Unskilled Workers,Unskilled Workers,No,Yes,13,10.692307692307692,9,12.307692307692308,Graduate
1st phase - general contingent,Social Service (evening attendance),Secondary Education - 12th Year of Schooling or Eq.,Higher Education,Unskilled Workers,Intermediate Level Technicians and Professions,No,Yes,5,12.0,4,11.25,Graduate
Over 23 years old,Agronomy,Basic education 1st cycle (4th/5th year) or equiv.,Basic education 1st cycle (4th/5th year) or equiv.,Installation and Machine Operators and Assembly Workers,Intermediate Level Technicians and Professions,Yes,Yes,0,0.0,0,0.0,Dropout
2nd phase - general contingent,Management,Basic Education 2nd Cycle (6th/7th/8th Year) or Equiv.,Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,Armed Forces Professions,Unskilled Workers,No,Yes,3,10.333333333333334,4,11.0,Dropout
1st phase - general contingent,Nursing,Secondary Education - 12th Year of Schooling or Eq.,Secondary Education - 12th Year of Schooling or Eq.,"Representatives of the Legislative Power and Executive Bodies, Directors, Directors and Executive Managers",Unskilled Workers,No,Yes,5,13.98,5,13.98,Graduate
2nd phase - general contingent,Veterinary Nursing,Basic education 1st cycle (4th/5th year) or equiv.,Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,"Skilled Workers in Industry, Construction and Craftsmen",Specialists in Intellectual and Scientific Activities,No,Yes,1,11.0,5,11.2,Dropout
Over 23 years old,Management (evening attendance),Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,Basic Education 2nd Cycle (6th/7th/8th Year) or Equiv.,"Skilled Workers in Industry, Construction and Craftsmen",Unskilled Workers,Yes,Yes,4,11.25,4,10.833333333333334,Graduate
Change of institution/course,Social Service (evening attendance),Basic education 1st cycle (4th/5th year) or equiv.,Basic education 1st cycle (4th/5th year) or equiv.,Unskilled Workers,Unskilled Workers,No,Yes,10,11.9,10,12.8,Graduate
2nd phase - general contingent,Basic Education,Higher Education,Higher Education,Intermediate Level Technicians and Professions,Intermediate Level Technicians and Professions,Yes,No,7,12.285714285714286,6,13.333333333333334,Graduate
Technological specialization diploma holders,Veterinary Nursing,Basic Education 2nd Cycle (6th/7th/8th Year) or Equiv.,Basic education 1st cycle (4th/5th year) or equiv.,"Farmers and Skilled Workers in Agriculture, Fisheries and Forestry","Personal Services, Security and Safety Workers and Sellers",No,Yes,5,12.666666666666666,2,13.5,Dropout
Change of course,Nursing,Basic education 1st cycle (4th/5th year) or equiv.,Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,Installation and Machine Operators and Assembly Workers,Installation and Machine Operators and Assembly Workers,No,Yes,6,13.25,8,13.75,Graduate
1st phase - general contingent,Social Service,Basic Education 2nd Cycle (6th/7th/8th Year) or Equiv.,Basic Education 2nd Cycle (6th/7th/8th Year) or Equiv.,"Skilled Workers in Industry, Construction and Craftsmen","Personal Services, Security and Safety Workers and Sellers",No,Yes,3,10.333333333333334,3,10.333333333333334,Dropout
2nd phase - general contingent,Basic Education,Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,Secondary Education - 12th Year of Schooling or Eq.,"Personal Services, Security and Safety Workers and Sellers",Administrative staff,No,Yes,5,13.166666666666666,5,12.4,Graduate
Technological specialization diploma holders,Veterinary Nursing,Basic Education 2nd Cycle (6th/7th/8th Year) or Equiv.,Higher Education - Master's,"Personal Services, Security and Safety Workers and Sellers",Administrative staff,No,Yes,4,12.75,1,11.0,Dropout
Over 23 years old,Nursing,Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,Secondary Education - 12th Year of Schooling or Eq.,Intermediate Level Technicians and Professions,"Personal Services, Security and Safety Workers and Sellers",No,Yes,5,11.2,5,12.14,Dropout
2nd phase - general contingent,Communication Design,Higher Education,Secondary Education - 12th Year of Schooling or Eq.,Intermediate Level Technicians and Professions,Intermediate Level Technicians and Professions,Yes,Yes,5,11.6,4,11.2,Graduate
2nd phase - general contingent,Tourism,Basic education 1st cycle (4th/5th year) or equiv.,Basic education 1st cycle (4th/5th year) or equiv.,"Skilled Workers in Industry, Construction and Craftsmen","Skilled Workers in Industry, Construction and Craftsmen",No,Yes,3,10.333333333333334,3,10.333333333333334,Dropout
1st phase - general contingent,Journalism and Communication,Basic education 1st cycle (4th/5th year) or equiv.,Basic Education 2nd Cycle (6th/7th/8th Year) or Equiv.,Unskilled Workers,Unskilled Workers,No,Yes,4,12.25,3,11.0,Dropout
1st phase - general contingent,Tourism,Basic Education 2nd Cycle (6th/7th/8th Year) or Equiv.,Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,Unskilled Workers,Unskilled Workers,No,Yes,6,12.0,4,12.75,Graduate
2nd phase - general contingent,Management,Higher Education - Bachelor's Degree,Basic Education 2nd Cycle (6th/7th/8th Year) or Equiv.,Specialists in Intellectual and Scientific Activities,Unskilled Workers,No,Yes,3,11.333333333333334,2,10.666666666666666,Dropout
2nd phase - general contingent,Tourism,Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,"Personal Services, Security and Safety Workers and Sellers","Personal Services, Security and Safety Workers and Sellers",Yes,Yes,4,11.25,6,10.5,Graduate
Change of course,Oral Hygiene,Higher Education - Master's,Higher Education,Specialists in Intellectual and Scientific Activities,Intermediate Level Technicians and Professions,No,Yes,0,0.0,1,16.0,Dropout
Change of course,Equinculture,Basic Education 2nd Cycle (6th/7th/8th Year) or Equiv.,Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,"Personal Services, Security and Safety Workers and Sellers",Administrative staff,No,Yes,1,12.0,3,12.0,Dropout
1st phase - general contingent,Tourism,Basic Education 2nd Cycle (6th/7th/8th Year) or Equiv.,Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,Armed Forces Professions,Intermediate Level Technicians and Professions,Yes,Yes,5,12.8,5,12.8,Graduate
1st phase - general contingent,Management,Basic Education 2nd Cycle (6th/7th/8th Year) or Equiv.,Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,"Skilled Workers in Industry, Construction and Craftsmen",Unskilled Workers,No,Yes,5,11.8,4,11.25,Graduate
2nd phase - general contingent,Social Service,Secondary Education - 12th Year of Schooling or Eq.,Secondary Education - 12th Year of Schooling or Eq.,Unskilled Workers,Administrative staff,No,Yes,5,10.6,4,10.4,Graduate
1st phase - general contingent,Basic Education,Basic Education 2nd Cycle (6th/7th/8th Year) or Equiv.,Secondary Education - 12th Year of Schooling or Eq.,Armed Forces Professions,"Personal Services, Security and Safety Workers and Sellers",No,Yes,5,14.333333333333334,8,12.625,Graduate
2nd phase - general contingent,Social Service,Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,Basic Education 2nd Cycle (6th/7th/8th Year) or Equiv.,"Workers in food processing, woodworking, clothing and other industries and crafts",cleaning workers,Yes,Yes,5,13.2,5,11.8,Graduate
Technological specialization diploma holders,Veterinary Nursing,Basic Education 2nd Cycle (6th/7th/8th Year) or Equiv.,Basic Education 2nd Cycle (6th/7th/8th Year) or Equiv.,"Skilled Workers in Industry, Construction and Craftsmen",Unskilled Workers,No,Yes,6,12.666666666666666,2,13.0,Dropout
1st phase - general contingent,Veterinary Nursing,Basic education 1st cycle (4th/5th year) or equiv.,Basic education 1st cycle (4th/5th year) or equiv.,Administrative staff,Unskilled Workers,No,Yes,5,13.333333333333334,4,11.4,Graduate
1st phase - general contingent,Basic Education,Secondary Education - 12th Year of Schooling or Eq.,Higher Education,"Personal Services, Security and Safety Workers and Sellers",Specialists in Intellectual and Scientific Activities,No,Yes,6,10.666666666666666,6,12.833333333333334,Graduate
2nd phase - general contingent,Veterinary Nursing,Basic Education 2nd Cycle (6th/7th/8th Year) or Equiv.,Basic education 1st cycle (4th/5th year) or equiv.,Unskilled Workers,Unskilled Workers,No,Yes,3,11.333333333333334,5,12.6,Graduate
1st phase - general contingent,Communication Design,Secondary Education - 12th Year of Schooling or Eq.,Secondary Education - 12th Year of Schooling or Eq.,Administrative staff,Administrative staff,No,No,5,12.2,4,10.833333333333334,Dropout
Over 23 years old,Nursing,Basic Education 2nd Cycle (6th/7th/8th Year) or Equiv.,Basic education 1st cycle (4th/5th year) or equiv.,Market-oriented farmers and skilled agricultural and animal production workers,personal service workers,No,Yes,4,14.0,3,12.525,Dropout
Over 23 years old,Biofuel Production Technologies,Secondary Education - 12th Year of Schooling or Eq.,Higher Education,Administrative staff,Specialists in Intellectual and Scientific Activities,No,Yes,7,14.75,5,13.8,Graduate
1st phase - general contingent,Communication Design,Secondary Education - 12th Year of Schooling or Eq.,Higher Education - Master's,Intermediate Level Technicians and Professions,Specialists in Intellectual and Scientific Activities,No,Yes,4,10.75,0,0.0,Dropout
Over 23 years old,Informatics Engineering,Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,Intermediate Level Technicians and Professions,"Personal Services, Security and Safety Workers and Sellers",No,Yes,1,12.0,3,10.5,Dropout
2nd phase - general contingent,Management,Basic education 1st cycle (4th/5th year) or equiv.,Basic education 1st cycle (4th/5th year) or equiv.,"Skilled Workers in Industry, Construction and Craftsmen",Administrative staff,Yes,Yes,3,11.666666666666666,3,11.666666666666666,Dropout
1st phase - general contingent,Management,Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,"Skilled Workers in Industry, Construction and Craftsmen","Personal Services, Security and Safety Workers and Sellers",No,Yes,5,10.0,2,12.0,Dropout
2nd phase - general contingent,Informatics Engineering,Secondary Education - 12th Year of Schooling or Eq.,Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,Armed Forces Professions,Unskilled Workers,Yes,Yes,5,13.2,5,12.6,Graduate
1st phase - general contingent,Management,Secondary Education - 12th Year of Schooling or Eq.,Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,Armed Forces Professions,"Personal Services, Security and Safety Workers and Sellers",No,Yes,4,10.2,3,11.0,Dropout
Over 23 years old,Informatics Engineering,Secondary Education - 12th Year of Schooling or Eq.,Secondary Education - 12th Year of Schooling or Eq.,Armed Forces Professions,"Personal Services, Security and Safety Workers and Sellers",No,Yes,5,14.2,2,13.5,Dropout
1st phase - general contingent,Advertising and Marketing Management,Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,Basic Education 2nd Cycle (6th/7th/8th Year) or Equiv.,"Farmers and Skilled Workers in Agriculture, Fisheries and Forestry","Personal Services, Security and Safety Workers and Sellers",No,Yes,6,12.625,2,14.5,Graduate
1st phase - general contingent,Nursing,Basic education 1st cycle (4th/5th year) or equiv.,Basic education 1st cycle (4th/5th year) or equiv.,Unskilled Workers,Unskilled Workers,No,Yes,6,13.496666666666668,6,13.496666666666668,Graduate
2nd phase - general contingent,Management,Secondary Education - 12th Year of Schooling or Eq.,Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,Administrative staff,"Skilled Workers in Industry, Construction and Craftsmen",No,Yes,3,11.0,3,12.0,Dropout
Technological specialization diploma holders,Tourism,Technological specialization course,Technological specialization course,"Unskilled workers in extractive industry, construction, manufacturing and transport",Meal preparation assistants,No,Yes,3,11.5,3,10.666666666666666,Dropout
1st phase - general contingent,Equinculture,Secondary Education - 12th Year of Schooling or Eq.,Secondary Education - 12th Year of Schooling or Eq.,Intermediate Level Technicians and Professions,Intermediate Level Technicians and Professions,No,Yes,2,11.0,3,12.666666666666666,Dropout
1st phase - general contingent,Management,Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,Higher Education,"Personal Services, Security and Safety Workers and Sellers",Administrative staff,No,Yes,3,12.4,5,10.833333333333334,Graduate
Over 23 years old,Management (evening attendance),Basic education 1st cycle (4th/5th year) or equiv.,Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,Installation and Machine Operators and Assembly Workers,Unskilled Workers,Yes,Yes,5,10.6,5,10.2,Graduate
2nd phase - general contingent,Advertising and Marketing Management,Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,Secondary Education - 12th Year of Schooling or Eq.,"Skilled Workers in Industry, Construction and Craftsmen",Installation and Machine Operators and Assembly Workers,No,Yes,6,14.833333333333334,6,13.285714285714286,Graduate
1st phase - general contingent,Nursing,Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,Higher Education,Installation and Machine Operators and Assembly Workers,Specialists in Intellectual and Scientific Activities,No,Yes,4,12.45,5,11.7,Graduate
2nd phase - general contingent,Advertising and Marketing Management,Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,Secondary Education - 12th Year of Schooling or Eq.,Installation and Machine Operators and Assembly Workers,Administrative staff,No,Yes,5,13.4,4,13.0,Graduate
2nd phase - general contingent,Agronomy,Basic education 1st cycle (4th/5th year) or equiv.,Basic education 1st cycle (4th/5th year) or equiv.,"Farmers and Skilled Workers in Agriculture, Fisheries and Forestry",Administrative staff,No,Yes,6,13.333333333333334,5,14.0,Graduate
